                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5652,                  2.035,                 2.5406,                0.69215,                 0.6378,                0.58409,                0.20324,                 1.8597,                 1.3403,                 1.5505,             0.00023764,             0.00023764,             0.00023764
                      2,                 1.5529,                 1.1925,                 1.4225,                0.82561,                0.75649,                0.77608,                0.28496,                 1.6939,                 1.2493,                 1.3649,             0.00047531,             0.00047531,             0.00047531
                      3,                  1.422,                 1.0857,                 1.2829,                 0.8567,                0.77175,                0.78052,                0.28457,                 1.7203,                  1.239,                 1.3905,             0.00071169,             0.00071169,             0.00071169
                      4,                 1.3657,                 1.0287,                 1.2386,                0.88069,                0.80476,                0.83203,                0.34938,                 1.5035,                 1.1532,                 1.2993,             0.00070961,             0.00070961,             0.00070961
                      5,                 1.3214,                0.95803,                 1.2049,                0.93877,                0.85544,                0.90378,                0.47318,                 1.3616,                0.87052,                 1.1917,             0.00070621,             0.00070621,             0.00070621
                      6,                  1.307,                0.92364,                 1.1791,                0.94078,                0.87955,                0.90858,                0.48198,                 1.2782,                  0.837,                 1.1385,             0.00070185,             0.00070185,             0.00070185
                      7,                 1.2548,                0.86732,                 1.1592,                0.94346,                0.89419,                0.91512,                0.47496,                 1.3399,                0.82546,                 1.1646,             0.00069654,             0.00069654,             0.00069654
                      8,                 1.2584,                0.84895,                 1.1543,                0.94344,                0.89254,                0.92412,                0.49392,                 1.3624,                0.80441,                 1.1749,             0.00069031,             0.00069031,             0.00069031
                      9,                 1.2321,                0.81226,                 1.1348,                0.95462,                0.91504,                0.94277,                0.54588,                 1.2149,                0.71706,                 1.1075,             0.00068317,             0.00068317,             0.00068317
                     10,                 1.2174,                0.79489,                   1.13,                0.94899,                0.91474,                0.94632,                0.56264,                 1.2039,                0.65654,                  1.102,             0.00067513,             0.00067513,             0.00067513
                     11,                 1.2098,                0.78651,                 1.1313,                0.95346,                0.90852,                0.94259,                0.57779,                 1.1655,                0.64646,                 1.0776,             0.00066622,             0.00066622,             0.00066622
                     12,                 1.1871,                0.75798,                 1.1274,                 0.9549,                0.91487,                 0.9483,                 0.5859,                 1.1462,                0.62412,                  1.074,             0.00065646,             0.00065646,             0.00065646
                     13,                 1.1833,                0.74495,                 1.1184,                0.94742,                0.90794,                0.94855,                  0.569,                 1.1931,                 0.6525,                 1.0986,             0.00064589,             0.00064589,             0.00064589
                     14,                 1.1734,                 0.7281,                 1.1054,                0.96006,                0.92116,                0.94844,                0.55921,                 1.2425,                0.63606,                 1.1143,             0.00063452,             0.00063452,             0.00063452
                     15,                 1.1626,                0.71297,                 1.1086,                0.95883,                0.92513,                0.95838,                 0.5921,                 1.1695,                0.58798,                 1.0836,             0.00062239,             0.00062239,             0.00062239
                     16,                 1.1769,                0.72667,                 1.1149,                0.95729,                0.91974,                0.95555,                0.60248,                 1.1563,                0.57611,                 1.0808,             0.00060954,             0.00060954,             0.00060954
                     17,                  1.157,                0.70755,                 1.1003,                0.96077,                0.92661,                0.95502,                0.58502,                 1.1855,                0.58849,                   1.09,               0.000596,               0.000596,               0.000596
                     18,                 1.1509,                0.68548,                  1.101,                0.96289,                0.92341,                0.95584,                0.62019,                 1.0802,                0.56848,                 1.0429,              0.0005818,              0.0005818,              0.0005818
                     19,                  1.145,                0.68023,                 1.0936,                0.95976,                0.92982,                0.95726,                0.61037,                 1.0997,                0.56568,                 1.0498,             0.00056699,             0.00056699,             0.00056699
                     20,                 1.1463,                 0.6853,                 1.0974,                0.96299,                0.93361,                0.96103,                0.58081,                  1.225,                0.59717,                 1.1031,              0.0005516,              0.0005516,              0.0005516
                     21,                 1.1391,                0.66903,                  1.096,                0.96229,                0.93307,                 0.9621,                0.60691,                 1.1528,                0.54954,                 1.0768,             0.00053568,             0.00053568,             0.00053568
                     22,                 1.1288,                 0.6557,                 1.0956,                0.96203,                0.93665,                0.96186,                0.61525,                 1.1054,                0.54481,                 1.0483,             0.00051927,             0.00051927,             0.00051927
                     23,                  1.125,                  0.649,                 1.0899,                0.96553,                0.93652,                0.96414,                0.61859,                 1.1336,                0.54121,                 1.0639,             0.00050242,             0.00050242,             0.00050242
