                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5576,                 1.8826,                 1.9335,                0.86892,                0.65795,                 0.7286,                 0.4091,                    nan,                    nan,                    nan,              0.0003997,              0.0003997,              0.0003997
                      2,                 1.4559,                0.80649,                 1.1002,                0.90997,                 0.7897,                0.85371,                0.51291,                    nan,                    nan,                    nan,             0.00076011,             0.00076011,             0.00076011
                      3,                 1.3409,                0.68758,                 1.0468,                0.92682,                0.82632,                0.88936,                0.54508,                    nan,                    nan,                    nan,              0.0010809,              0.0010809,              0.0010809
                      4,                 1.2988,                0.64877,                 1.0305,                 0.9279,                0.82147,                0.88652,                0.55691,                    nan,                    nan,                    nan,              0.0013621,              0.0013621,              0.0013621
                      5,                 1.2642,                0.61901,                  1.017,                0.93062,                 0.8441,                0.89955,                0.57405,                    nan,                    nan,                    nan,              0.0016038,              0.0016038,              0.0016038
                      6,                  1.247,                0.59564,                 1.0082,                0.94479,                0.85006,                 0.9108,                0.57479,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                      7,                 1.2256,                0.57896,                 1.0049,                0.93353,                0.86361,                  0.916,                0.58916,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      8,                 1.2083,                 0.5645,                0.99825,                0.93972,                0.87529,                0.92156,                0.59973,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                      9,                 1.1912,                0.54774,                 0.9904,                0.94703,                0.86624,                 0.9204,                0.58731,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     10,                 1.1832,                0.54772,                 1.0108,                0.94626,                0.86517,                0.91887,                0.59213,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                 1.1659,                0.53013,                 1.0103,                 0.9396,                0.87695,                0.92443,                0.59835,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                 1.1592,                0.52291,                  1.009,                0.94349,                0.87064,                0.92361,                0.59863,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                 1.1507,                 0.5144,                  1.013,                0.94174,                0.87698,                0.92563,                0.61436,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                 1.1332,                0.50385,                  1.006,                0.94567,                 0.8844,                 0.9288,                0.62071,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     15,                 1.1293,                0.49678,                0.99708,                 0.9448,                0.88253,                 0.9288,                0.61664,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     16,                 1.1186,                0.48803,                0.99193,                0.94598,                0.88679,                0.93435,                0.62974,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     17,                 1.1067,                0.47908,                0.98941,                0.94939,                0.89152,                0.93542,                0.63078,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     18,                 1.1055,                0.47468,                0.99028,                0.94765,                0.88772,                0.93484,                0.62821,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     19,                 1.0985,                0.47019,                0.98695,                0.94718,                0.88412,                0.93497,                0.62978,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     20,                 1.0884,                0.46487,                0.98273,                0.94859,                0.89547,                 0.9378,                0.63503,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
