                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.542,                 1.8673,                 1.9327,                0.86892,                0.69847,                 0.7662,                0.42193,                    nan,                    nan,                    nan,              0.0003997,              0.0003997,              0.0003997
                      2,                 1.4498,                0.79563,                 1.1138,                0.91499,                0.78165,                0.85253,                0.50813,                    nan,                    nan,                    nan,             0.00078386,             0.00078386,             0.00078386
                      3,                 1.3334,                0.68393,                 1.0524,                0.93028,                0.82544,                 0.8851,                0.54848,                    nan,                    nan,                    nan,              0.0011522,              0.0011522,              0.0011522
                      4,                 1.2906,                0.63873,                 1.0334,                0.92838,                 0.8318,                0.89695,                0.56935,                    nan,                    nan,                    nan,              0.0015047,              0.0015047,              0.0015047
                      5,                 1.2523,                0.61026,                 1.0174,                 0.9405,                0.84243,                0.90228,                0.57257,                    nan,                    nan,                    nan,              0.0018413,              0.0018413,              0.0018413
                      6,                 1.2412,                0.59206,                 1.0113,                0.93825,                0.85921,                0.91075,                 0.5784,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 1.2033,                0.56813,                 1.0001,                0.93784,                0.86049,                0.91399,                0.59007,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.193,                0.56183,                0.99618,                0.93915,                0.85961,                0.91587,                 0.5906,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1879,                 0.5491,                0.99296,                0.94856,                0.87313,                0.92227,                0.59846,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1747,                0.54205,                0.98979,                0.94824,                 0.8691,                0.92328,                0.60726,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1669,                0.53133,                0.98389,                0.94202,                0.87882,                0.92716,                0.60708,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                 1.1494,                0.52251,                0.98139,                0.94814,                0.87505,                0.93003,                 0.6175,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1505,                 0.5199,                0.97964,                 0.9449,                0.87848,                0.93016,                0.61944,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1437,                0.51561,                0.97813,                0.94878,                0.87841,                0.93056,                0.61648,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1419,                0.51175,                0.97861,                0.95003,                0.87949,                0.93243,                0.62153,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1357,                0.50508,                0.97743,                0.95108,                0.89516,                0.93715,                0.62804,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                 1.1318,                0.50352,                0.97628,                0.95079,                0.88568,                0.93675,                0.63285,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1191,                0.49457,                0.97305,                0.94898,                0.89045,                0.93686,                0.62954,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1272,                0.49862,                0.97014,                0.94852,                0.88662,                0.93649,                0.63223,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1215,                0.49738,                0.96872,                 0.9522,                0.89235,                0.94207,                0.63813,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1173,                0.49384,                0.96764,                0.94744,                0.89544,                0.94089,                0.63234,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                 1.1215,                0.49844,                0.96582,                0.95114,                0.89278,                0.94149,                0.63147,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1255,                0.50539,                0.96325,                0.95401,                0.89241,                  0.942,                0.63928,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1177,                0.50289,                0.96139,                0.95561,                0.89573,                0.94438,                0.63923,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.106,                0.49766,                0.95465,                0.95216,                0.89705,                0.94411,                0.64361,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1095,                0.49738,                0.95575,                0.95465,                0.90078,                0.94476,                0.64459,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     27,                 1.1009,                0.49444,                0.95219,                0.95397,                0.90053,                0.94571,                0.64915,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0958,                0.49108,                0.94963,                0.95584,                0.90192,                 0.9454,                0.64714,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0899,                 0.4851,                0.94966,                0.95722,                0.90102,                0.94628,                0.65207,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.094,                0.48484,                0.94581,                0.95591,                0.90132,                0.94729,                0.65168,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0904,                0.48328,                0.94876,                 0.9576,                0.90469,                 0.9482,                0.65429,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     32,                 1.0803,                  0.479,                 0.9458,                0.95926,                0.90361,                0.94895,                0.65517,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0839,                 0.4809,                 0.9464,                0.95901,                0.90468,                0.94903,                0.65334,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0815,                0.47762,                0.94251,                0.95621,                0.90854,                 0.9491,                0.65668,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0712,                0.47301,                0.94409,                0.95731,                0.90761,                0.95058,                0.65954,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.068,                0.46936,                0.93758,                0.95808,                0.90857,                0.95083,                0.66098,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     37,                 1.0644,                0.46755,                0.93946,                0.95724,                0.90969,                0.95168,                0.66279,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0629,                0.46319,                0.94058,                0.95549,                0.90855,                0.95227,                0.66242,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0673,                0.46556,                0.94378,                0.95545,                 0.9089,                0.95204,                 0.6626,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0648,                 0.4655,                0.94091,                0.95735,                0.91043,                0.95307,                0.66363,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0498,                 0.4511,                 0.9573,                 0.9598,                0.90821,                0.95291,                0.66439,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 1.0474,                0.44879,                 0.9547,                0.95717,                0.90948,                0.95273,                0.66563,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0504,                0.44911,                0.95852,                0.95808,                 0.9102,                0.95355,                0.66688,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0394,                0.44273,                0.95442,                0.95793,                0.91181,                0.95364,                0.66811,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0393,                0.44226,                0.94958,                0.95773,                 0.9115,                0.95358,                0.66728,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0334,                0.43858,                0.95346,                0.95867,                0.90896,                0.95362,                0.66904,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 1.0302,                0.43713,                0.94852,                0.95952,                0.90912,                0.95388,                0.66913,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0313,                0.43457,                0.95372,                0.95941,                0.90956,                0.95398,                0.66957,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0247,                0.43296,                0.94772,                0.95869,                 0.9102,                0.95431,                0.67074,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0227,                0.42969,                0.94877,                0.95854,                0.91053,                0.95435,                0.67097,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
