                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0709,                0.47196,                0.94333,                0.95747,                0.90798,                0.95125,                0.66005,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0652,                0.46703,                0.94591,                 0.9564,                 0.9072,                0.95075,                0.66113,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0615,                0.46541,                0.94217,                0.95757,                0.90851,                0.95158,                0.66212,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0648,                0.46515,                0.94201,                0.95887,                 0.9066,                0.95166,                0.66402,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0544,                0.45221,                0.96052,                0.95875,                0.90842,                0.95066,                0.66333,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 1.0435,                0.44692,                0.95359,                0.95653,                0.90953,                0.95162,                 0.6658,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0409,                0.44546,                0.95437,                0.95839,                0.90866,                 0.9522,                0.66726,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0406,                0.44308,                0.95424,                0.95659,                 0.9104,                0.95297,                0.66705,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0346,                0.44045,                0.95031,                0.95787,                0.91009,                0.95303,                0.66758,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0327,                0.43779,                0.95042,                0.95877,                0.90815,                0.95279,                0.66745,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 1.0308,                0.43601,                0.95188,                0.95821,                0.90875,                 0.9529,                0.66775,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0273,                 0.4329,                0.95143,                0.95814,                0.90929,                 0.9526,                0.66819,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0253,                0.43283,                0.94892,                0.95869,                 0.9102,                0.95322,                0.66933,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0266,                0.43322,                0.95035,                0.96003,                0.90905,                0.95368,                0.66964,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
