                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0494,                0.53195,                 1.0815,                0.97118,                0.95104,                0.97662,                0.67199,                 1.0552,                0.43361,                 1.0305,              0.0039154,              0.0039154,              0.0039154
                     59,                 1.0519,                0.53204,                 1.0703,                0.97156,                0.95271,                0.97687,                0.67181,                 1.0505,                 0.4282,                 1.0268,              0.0037628,              0.0037628,              0.0037628
                     60,                 1.0621,                0.53271,                 1.0751,                0.97179,                0.95254,                0.97711,                0.67315,                 1.0497,                0.42921,                 1.0272,              0.0036114,              0.0036114,              0.0036114
                     61,                 1.0493,                0.53037,                 1.0731,                0.97214,                 0.9516,                 0.9772,                0.67514,                 1.0499,                 0.4281,                 1.0288,              0.0034615,              0.0034615,              0.0034615
                     62,                 1.0578,                0.53201,                 1.0706,                0.97105,                0.95337,                0.97786,                 0.6779,                 1.0394,                0.42601,                 1.0248,               0.003313,               0.003313,               0.003313
                     63,                 1.0462,                0.52034,                 1.0714,                0.97178,                0.95271,                0.97759,                0.67903,                 1.0386,                0.42352,                 1.0241,              0.0031662,              0.0031662,              0.0031662
                     64,                 1.0555,                0.52254,                 1.0724,                0.97166,                0.95355,                0.97762,                 0.6772,                 1.0423,                 0.4246,                  1.023,              0.0030212,              0.0030212,              0.0030212
                     65,                 1.0475,                 0.5249,                 1.0692,                0.97061,                0.95399,                0.97782,                0.68103,                 1.0346,                0.42249,                 1.0207,              0.0028782,              0.0028782,              0.0028782
                     66,                 1.0595,                0.52214,                  1.064,                0.97167,                0.95359,                0.97855,                0.68103,                 1.0385,                0.42131,                 1.0241,              0.0027373,              0.0027373,              0.0027373
                     67,                 1.0545,                0.52011,                 1.0677,                0.97101,                0.95416,                0.97878,                 0.6816,                 1.0349,                0.42257,                 1.0226,              0.0025986,              0.0025986,              0.0025986
                     68,                 1.0402,                0.51512,                 1.0694,                0.97022,                 0.9544,                0.97851,                0.68348,                 1.0292,                0.41997,                   1.02,              0.0024623,              0.0024623,              0.0024623
                     69,                 1.0421,                0.51625,                 1.0753,                0.97132,                0.95458,                0.97839,                0.68241,                 1.0324,                0.42044,                 1.0213,              0.0023285,              0.0023285,              0.0023285
                     70,                   1.04,                0.51214,                 1.0756,                0.97184,                0.95406,                0.97929,                0.68163,                 1.0349,                0.42035,                 1.0227,              0.0021974,              0.0021974,              0.0021974
                     71,                 1.0447,                0.51763,                 1.0627,                0.97188,                0.95435,                0.97834,                0.68222,                 1.0309,                0.41951,                 1.0208,               0.002069,               0.002069,               0.002069
                     72,                 1.0328,                0.50834,                 1.0635,                0.97226,                0.95492,                0.97807,                 0.6814,                 1.0323,                   0.42,                 1.0218,              0.0019435,              0.0019435,              0.0019435
                     73,                 1.0396,                0.50942,                 1.0688,                0.97231,                0.95463,                0.97885,                0.68367,                 1.0279,                0.41804,                 1.0191,              0.0018211,              0.0018211,              0.0018211
                     74,                 1.0381,                0.50799,                 1.0595,                0.97178,                 0.9552,                0.97846,                0.68438,                 1.0266,                0.41716,                 1.0186,              0.0017017,              0.0017017,              0.0017017
                     75,                 1.0386,                0.50845,                 1.0664,                0.97168,                0.95566,                0.97898,                0.68382,                 1.0298,                0.41768,                 1.0202,              0.0015857,              0.0015857,              0.0015857
                     76,                 1.0307,                0.50161,                 1.0538,                0.97166,                0.95586,                 0.9792,                0.68459,                 1.0284,                0.41675,                 1.0188,               0.001473,               0.001473,               0.001473
                     77,                 1.0421,                0.51086,                 1.0686,                0.97193,                0.95627,                0.97949,                0.68415,                 1.0275,                0.41616,                  1.018,              0.0013638,              0.0013638,              0.0013638
                     78,                 1.0213,                0.49761,                 1.0514,                0.97176,                0.95583,                0.97952,                0.68456,                 1.0271,                0.41563,                 1.0181,              0.0012582,              0.0012582,              0.0012582
                     79,                 1.0216,                0.49547,                 1.0597,                0.97136,                0.95601,                0.97982,                0.68612,                 1.0244,                0.41523,                 1.0173,              0.0011563,              0.0011563,              0.0011563
                     80,                 1.0201,                0.49457,                 1.0646,                0.97144,                 0.9557,                0.97988,                0.68566,                 1.0261,                0.41537,                 1.0184,              0.0010582,              0.0010582,              0.0010582
                     81,                  1.025,                0.49739,                 1.0597,                0.97175,                0.95537,                0.97981,                0.68618,                 1.0251,                0.41466,                 1.0178,             0.00096396,             0.00096396,             0.00096396
                     82,                 1.0258,                0.49327,                 1.0575,                0.97145,                0.95557,                0.97947,                0.68614,                 1.0238,                0.41399,                 1.0171,             0.00087373,             0.00087373,             0.00087373
                     83,                 1.0194,                0.49014,                 1.0547,                0.97166,                0.95523,                0.97969,                 0.6871,                 1.0219,                0.41342,                 1.0162,             0.00078758,             0.00078758,             0.00078758
                     84,                 1.0213,                0.49422,                 1.0601,                 0.9714,                0.95501,                0.97942,                0.68742,                 1.0201,                0.41281,                 1.0152,             0.00070559,             0.00070559,             0.00070559
                     85,                 1.0269,                 0.4952,                 1.0632,                0.97119,                0.95574,                0.97961,                0.68792,                 1.0192,                0.41212,                 1.0148,             0.00062785,             0.00062785,             0.00062785
                     86,                 1.0174,                0.48908,                 1.0486,                0.97135,                 0.9556,                0.97982,                0.68806,                 1.0188,                 0.4121,                 1.0147,             0.00055442,             0.00055442,             0.00055442
                     87,                 1.0215,                0.49391,                 1.0632,                0.97188,                0.95539,                0.97998,                0.68802,                 1.0197,                0.41194,                 1.0151,             0.00048539,             0.00048539,             0.00048539
                     88,                 1.0093,                0.49035,                  1.053,                0.97168,                0.95537,                0.97999,                0.68839,                 1.0194,                 0.4117,                  1.015,             0.00042082,             0.00042082,             0.00042082
                     89,                 1.0187,                0.49222,                 1.0548,                0.97196,                0.95467,                0.98001,                0.68837,                 1.0193,                0.41181,                 1.0151,             0.00036077,             0.00036077,             0.00036077
                     90,                 1.0145,                0.48962,                 1.0529,                0.97184,                0.95523,                 0.9803,                0.68872,                 1.0191,                0.41174,                 1.0151,              0.0003053,              0.0003053,              0.0003053
                     91,                0.98319,                0.44337,                 1.0725,                0.97157,                0.95544,                0.98026,                0.68891,                 1.0185,                0.41151,                 1.0149,             0.00025447,             0.00025447,             0.00025447
                     92,                0.97818,                0.43886,                 1.0714,                0.97181,                0.95555,                0.98051,                0.68914,                 1.0168,                0.41097,                 1.0142,             0.00020833,             0.00020833,             0.00020833
                     93,                 0.9837,                0.44079,                 1.0689,                0.97159,                0.95572,                0.98056,                0.68982,                 1.0154,                0.41048,                 1.0136,             0.00016693,             0.00016693,             0.00016693
                     94,                0.97041,                0.43085,                 1.0736,                0.97153,                0.95601,                0.98062,                0.69067,                 1.0135,                0.40997,                 1.0129,              0.0001303,              0.0001303,              0.0001303
                     95,                0.96706,                0.42684,                 1.0709,                0.97177,                0.95591,                0.98073,                 0.6913,                 1.0127,                0.40972,                 1.0125,             9.8475e-05,             9.8475e-05,             9.8475e-05
                     96,                0.96937,                0.43044,                 1.0645,                0.97167,                0.95584,                0.98069,                0.69129,                 1.0121,                0.40941,                 1.0122,             7.1497e-05,             7.1497e-05,             7.1497e-05
