                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9362,                 2.1695,                 2.2007,                0.63509,                0.49237,                0.44271,                 0.1371,                    nan,                    nan,                    nan,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.7615,                 1.2761,                 1.2148,                0.76352,                0.60985,                0.58799,                 0.1914,                    nan,                    nan,                    nan,              0.0013315,              0.0013315,              0.0013315
                      3,                  1.624,                 1.1609,                 1.1221,                0.80444,                0.64399,                0.67776,                 0.2401,                    nan,                    nan,                    nan,              0.0019916,              0.0019916,              0.0019916
                      4,                 1.5642,                 1.0774,                 1.0787,                0.77658,                0.63171,                0.61882,                0.18735,                    nan,                    nan,                    nan,              0.0019823,              0.0019823,              0.0019823
                      5,                 1.5128,                 1.0144,                 1.0555,                0.89699,                0.74393,                0.82039,                0.36573,                    nan,                    nan,                    nan,              0.0019686,              0.0019686,              0.0019686
                      6,                 1.4665,                0.96544,                 1.0383,                0.80649,                0.70116,                0.69335,                 0.2329,                    nan,                    nan,                    nan,              0.0019511,              0.0019511,              0.0019511
                      7,                  1.462,                0.95722,                 1.0324,                0.87885,                0.76651,                0.81488,                0.34692,                    nan,                    nan,                    nan,              0.0019298,              0.0019298,              0.0019298
                      8,                 1.4301,                0.91041,                 1.0192,                0.89204,                0.77647,                0.82285,                0.35995,                    nan,                    nan,                    nan,              0.0019049,              0.0019049,              0.0019049
                      9,                 1.4295,                0.91061,                 1.0177,                0.89023,                0.75703,                0.80997,                0.33656,                    nan,                    nan,                    nan,              0.0018764,              0.0018764,              0.0018764
                     10,                 1.4222,                0.89001,                 1.0115,                0.91335,                0.79764,                 0.8607,                0.44376,                    nan,                    nan,                    nan,              0.0018445,              0.0018445,              0.0018445
                     11,                 1.4042,                0.87477,                 1.0084,                0.90641,                 0.7977,                0.85679,                0.42587,                    nan,                    nan,                    nan,              0.0018092,              0.0018092,              0.0018092
                     12,                 1.3883,                0.85275,                 1.0009,                0.90621,                0.79221,                0.83975,                 0.3927,                    nan,                    nan,                    nan,              0.0017707,              0.0017707,              0.0017707
                     13,                 1.3841,                0.85281,                      1,                 0.8815,                0.79231,                0.84849,                 0.4174,                    nan,                    nan,                    nan,              0.0017292,              0.0017292,              0.0017292
                     14,                 1.3693,                0.84504,                 1.0011,                0.91623,                0.81666,                0.87451,                0.46316,                    nan,                    nan,                    nan,              0.0016849,              0.0016849,              0.0016849
