                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6415,                 1.9863,                 2.0161,                0.67147,                0.24546,                0.25249,                0.08812,                    nan,                    nan,                    nan,             0.00066641,             0.00066641,             0.00066641
                      2,                 1.6844,                 1.1883,                 1.2307,                0.68077,                0.28801,                0.29622,                0.12774,                    nan,                    nan,                    nan,              0.0013318,              0.0013318,              0.0013318
                      3,                  1.557,                 1.0743,                 1.1619,                0.83219,                0.29872,                0.33249,                0.14613,                    nan,                    nan,                    nan,              0.0019919,              0.0019919,              0.0019919
                      4,                 1.4974,                 1.0018,                 1.1241,                 0.7991,                0.28683,                0.31973,                0.12163,                    nan,                    nan,                    nan,              0.0019823,              0.0019823,              0.0019823
                      5,                 1.4233,                0.91931,                 1.0926,                0.86144,                0.30634,                0.35019,                0.14952,                    nan,                    nan,                    nan,              0.0019686,              0.0019686,              0.0019686
                      6,                 1.3934,                0.87573,                 1.0785,                0.88061,                  0.321,                0.36598,                 0.1856,                    nan,                    nan,                    nan,              0.0019511,              0.0019511,              0.0019511
                      7,                 1.3688,                0.84572,                 1.0668,                0.88941,                 0.3281,                0.37268,                0.19575,                    nan,                    nan,                    nan,              0.0019298,              0.0019298,              0.0019298
                      8,                 1.3573,                0.82936,                 1.0547,                0.91014,                0.33197,                0.38827,                 0.2167,                    nan,                    nan,                    nan,              0.0019049,              0.0019049,              0.0019049
                      9,                 1.3334,                0.79961,                 1.0469,                0.91758,                 0.3323,                0.39092,                0.23888,                    nan,                    nan,                    nan,              0.0018764,              0.0018764,              0.0018764
                     10,                 1.3166,                 0.7829,                 1.0369,                0.91669,                0.33509,                0.40883,                0.23336,                    nan,                    nan,                    nan,              0.0018444,              0.0018444,              0.0018444
                     11,                 1.3126,                0.77731,                 1.0399,                0.91471,                0.33139,                0.41965,                0.25639,                    nan,                    nan,                    nan,              0.0018091,              0.0018091,              0.0018091
                     12,                 1.2919,                0.75469,                 1.0275,                0.92467,                0.33671,                0.41821,                0.24887,                    nan,                    nan,                    nan,              0.0017706,              0.0017706,              0.0017706
                     13,                 1.2814,                0.73721,                 1.0296,                0.93286,                0.33519,                0.42846,                0.25925,                    nan,                    nan,                    nan,              0.0017291,              0.0017291,              0.0017291
                     14,                 1.2696,                0.72625,                 1.0208,                0.92158,                 0.3395,                0.40949,                0.23996,                    nan,                    nan,                    nan,              0.0016847,              0.0016847,              0.0016847
                     15,                 1.2617,                0.71171,                 1.0156,                0.92315,                 0.3396,                0.44903,                0.28887,                    nan,                    nan,                    nan,              0.0016376,              0.0016376,              0.0016376
                     16,                 1.2546,                0.70272,                 1.0128,                0.93002,                0.34091,                0.43195,                0.26609,                    nan,                    nan,                    nan,               0.001588,               0.001588,               0.001588
