                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7739,                 1.6455,                0.97993,                 0.9192,                0.92874,                0.95417,                0.52966,                 1.2009,                0.93935,                0.85386,              0.0001071,              0.0001071,              0.0001071
                      2,                  1.593,                 1.0101,                0.93324,                0.92338,                0.88659,                0.95219,                0.49593,                 1.3312,                0.95297,                0.87732,             0.00022112,             0.00022112,             0.00022112
                      3,                 1.5952,                0.99802,                0.92685,                 0.9211,                0.88566,                0.95603,                0.55526,                 1.2202,                0.84356,                0.85876,             0.00033426,             0.00033426,             0.00033426
                      4,                 1.6011,                 1.0144,                0.93574,                0.96124,                0.88276,                0.96747,                0.64226,                 1.1285,                0.66714,                0.84279,             0.00044584,             0.00044584,             0.00044584
                      5,                 1.4987,                0.88209,                0.90476,                0.94904,                0.89905,                0.97423,                0.65742,                 1.1287,                0.65321,                0.83956,              0.0005552,              0.0005552,              0.0005552
                      6,                 1.5068,                0.87711,                 0.9182,                0.93832,                0.94432,                0.97612,                0.65137,                 1.1322,                0.61765,                0.84591,              0.0006617,              0.0006617,              0.0006617
                      7,                 1.3635,                0.81493,                0.90854,                0.95192,                0.94253,                0.97768,                0.65663,                 1.1301,                0.63223,                0.84314,             0.00068893,             0.00068893,             0.00068893
                      8,                 1.4326,                0.82844,                0.91309,                0.96022,                 0.9433,                0.97934,                 0.6616,                 1.1224,                0.61769,                0.83994,             0.00068002,             0.00068002,             0.00068002
                      9,                 1.4655,                0.80624,                0.88625,                0.96923,                0.94144,                0.98011,                0.65566,                 1.1168,                0.61456,                0.84038,             0.00066984,             0.00066984,             0.00066984
                     10,                 1.4836,                  0.862,                0.90833,                0.95788,                0.94094,                 0.9759,                0.63971,                 1.1178,                0.61225,                0.83888,             0.00065843,             0.00065843,             0.00065843
