                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1583,                 2.7819,                 2.3644,                0.75543,                0.23682,                0.26018,                0.12924,                    nan,                    nan,                    nan,              0.0019992,              0.0019992,              0.0019992
                      2,                 1.6061,                0.98037,                 1.1906,                0.82842,                0.26759,                0.29857,                0.17757,                    nan,                    nan,                    nan,              0.0039597,              0.0039597,              0.0039597
                      3,                 1.4771,                0.81911,                 1.1002,                0.85862,                0.28199,                0.31792,                0.19825,                    nan,                    nan,                    nan,              0.0058805,              0.0058805,              0.0058805
                      4,                 1.4147,                0.75294,                 1.0712,                 0.8788,                0.28999,                0.33919,                0.21568,                    nan,                    nan,                    nan,              0.0077617,              0.0077617,              0.0077617
                      5,                 1.3816,                0.70616,                 1.0535,                0.89244,                0.29278,                0.34763,                0.22639,                    nan,                    nan,                    nan,              0.0096033,              0.0096033,              0.0096033
                      6,                 1.3369,                0.67049,                 1.0386,                0.90886,                0.29463,                0.37933,                0.25366,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 1.2848,                0.62894,                 1.0236,                0.90619,                0.30052,                0.38846,                0.26045,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.2583,                0.60326,                 1.0121,                0.92415,                0.29956,                 0.4241,                0.28999,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                 1.2382,                0.58558,                 1.0055,                0.93405,                0.30149,                0.40699,                0.27774,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                 1.2221,                0.57096,                 0.9997,                0.92753,                0.30346,                0.42162,                 0.2912,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                 1.1999,                0.55516,                 0.9922,                0.93538,                0.30408,                0.40919,                0.28121,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 1.1842,                0.54311,                0.98977,                0.94402,                0.30572,                0.42087,                0.29401,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 1.1841,                0.54017,                 0.9881,                0.93414,                0.30573,                0.42269,                 0.2951,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 1.1704,                0.53211,                0.98441,                0.93863,                 0.3065,                0.43651,                0.30635,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.1663,                0.52652,                0.98458,                0.94191,                 0.3065,                0.44148,                0.31184,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.1597,                0.52355,                 0.9815,                0.93696,                0.30775,                0.43962,                0.31096,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 1.1555,                 0.5161,                0.97719,                0.94391,                0.30859,                0.44036,                0.31233,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 1.1458,                0.51032,                0.97762,                0.94401,                0.30886,                0.44372,                0.31391,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 1.1468,                0.50903,                0.97526,                0.94007,                0.30842,                0.45515,                 0.3233,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
